text	classify
جسوقت نواز شریف صاحب ضیاالحق کی آمرانہ گود میں پرورش پا رھے تھے کاش اسوقت انکو ووٹ کے تقدس کا خیال آ گیا ھوتا تو شاید آج ووٹ_کو_عزت دو کے نعرے اپنے سیاسی عزائم کی تکمیل کے لیۓ نا لگتے😊	1.0
سعید غنی یہ عمران خان کی سازش ہے۔ مراد علی شاہ پولیس نے سب ٹھیک کیا۔ الحمدللہ خود ہی بےنقاب ہو گئے♥️	0.0
🤭 اور مجھے شرمندہ کرنے کے لیے ایڈووکیٹ صاحب کی مداخلت 😬	1.0
😃 ،نہیں، بتائیں آپکا دل نہیں کرتا ایسی جنگ کرنے کا	0.0
 میں سوچا سدھر جاؤں اندر سے آواز آئی معذرت آپ کے اندر یہ سہولت موجود نہیں ہے 😂😂☹️😂😂	1.0
کوئی نا بابا۔۔۔ ساڈے کیہڑے لن نو ٹھنڈ اے۔ 👺👺👺 ایہدی بےبے دے وچ پا کے مروڑے پاواں گے۔	0.0
 وہ کہیں بھی گیا لوٹا تو میرے پاس آیا جانے کس جرم کی پائی ھے سزا یاد نہیں 😂🤣🤪🤓	1.0
 جن پر تکیہ تھا وہ ہی پتے ہوا دینے لگے 	1.0
سب ہی ویلے 😂	0.0
دو چوہدریوں کی لڑائ میں جو میراثی کا کردار ہوتا ہے ۔۔ اپنے خان صاحب آج کل عین وہی کردار نبھا رہے ہیں	1.0
کاٹن دا سوٹ 1200روپے مرلہ 😒👶😒	1.0
حضورصلى الله عليه وسلم کی محبت ہی سب کچھ ہے جس شخص کا دل حضورصلى الله عليه وسلم کی محبت سے خالی ہے اُس کو تو محشر میں خدا کا دیدار بھی نہ ہوگا اور جسے حضورصلى الله عليه وسلم کا عشق نصیب ہے وہ دوزخ سے دور رہے گا الفت میں نبیصلى الله عليه وسلمکی جو گرفتار نہ ہوگا محشر میں خدا کا اسے دیدار بھی نہ ہوگا ♥️صلی اللہ علیہ وآلہ وسلم ♥️	0.0
اور مجھے پشتو سیکھنے کا، حالاں کہ پندرہ سالوں سے پٹھانوں میں رہتا ہوں۔ لیکن ذرا برابر نہیں سیکھی۔ صرف سنگے سیکھا یعنی کیا حال ہے۔ 😁😁	0.0
زیادہ بھونکنے کی ضرورت نہیں پہلے آئ جی سے پوچھ لو کس نے دباو ڈالا ھے سندھ گورنمنٹ نے یا وفاق نے پہر جی بھر کے بھونک لینا 🖐	1.0
بس پھر بندہ ہی نہیں بچے گا تو انتظار پونکا کرے گا 😜	0.0
 وچلے ذرائع کے مطابق کپٹن صفدر کو گرفتار کر کے فوج سے 1992 کا بدلہ لیا گیا ہے😜😜😜 CompromiseGames	1.0
کوئی بھی اپنے اکاؤنٹ کے نام کے ساتھ PTI لگا دے تو بس عمران خان اسکا زمیدار ہے 🤦🏻🤦🏻🤦🏻🤦🏻🤦🏻🤷‍♂️🤷‍♂️🤷‍♂️🤷‍♂️	0.0
یہ دنیا ہے جناب محفل میں بدنام اور منہ پہ سلام کرتی ہے 😑	0.0
دوستوں مارو مجھے مجھے مجھے مجھے یاد، مجھے مارو😌 میں بچپن میں اصلی نوٹوں سے نقلی نوٹ خریدتا تھا..😐🙄😁😂🤣	1.0
اے زندگی تجھے غرض کیا تیری ہر ادا ھے جدا جدا کہیں عیش بن کر ٹھہر گئ کہیں قہر بن کر برس گئ ⁦❤️⁩	0.0
ٹویٹر میرا سیریس اکاؤنٹ ہے 😐 فنی اکاؤنٹ تو میرا بینک اکاؤنٹ ہے جس میں ایک آنہ وی نہیں 😃😂😂😝	1.0
ہاے میری چائے ☕	0.0
